amount,transaction_velocity,new_device,new_location,is_fraud
469.2680899768591,3,1,0,0
3010.121430917521,1,0,0,0
1316.7456935454493,2,0,0,0
912.9425537759532,1,0,0,0
169.62487046234628,3,0,0,0
169.5962919146052,1,0,0,0
59.838768608680674,3,1,0,0
2011.2308644799396,5,0,0,0
919.0821536272646,0,0,0,0
1231.2500617045903,1,0,1,0
20.799307999138623,2,0,1,0
3503.557475158312,1,0,0,0
1786.4295433546752,5,0,0,0
238.687625248947,1,0,0,0
200.67898874966338,3,0,1,0
202.61142283225706,2,0,0,0
362.75372946047713,2,0,0,0
743.9278308608544,0,0,0,0
565.5370667803367,2,0,1,0
344.2229925539415,2,0,0,0
946.3708738997987,4,0,0,0
150.23452872733867,0,0,0,0
345.51551200240226,3,0,1,0
456.27721822084703,3,0,1,0
608.934687859775,3,0,0,0
1537.936011030912,2,0,0,0
222.7358621286903,0,0,0,0
722.0291550331277,2,0,0,0
897.5047213097606,2,0,1,0
47.563849756408544,1,0,0,0
935.3330206496101,0,0,0,0
186.96125197741642,0,0,0,0
67.26393087930424,1,0,0,0
2973.6877935069306,0,0,1,0
3370.6303424611724,2,0,0,0
1652.3315728128766,1,0,0,0
363.2878599687583,3,0,0,0
102.77731500250624,1,0,0,0
1152.7507630986618,1,0,0,0
580.0908425853984,6,0,1,1
130.15223395444863,3,1,0,0
683.5472281341501,1,0,1,0
34.99372144347908,1,1,0,0
2400.4228873930238,4,0,1,0
299.4577768406861,3,0,0,0
1086.2557985649803,0,0,0,0
373.5465816576237,0,0,0,0
734.1108959092286,3,0,1,0
791.2237979817976,3,1,0,0
204.38859950790575,4,1,0,0
3492.8071327362263,2,0,1,0
1492.2453771381408,1,0,0,0
2805.094419291582,4,1,0,0
2252.1519975341967,2,1,0,0
911.054412383275,1,0,0,0
2549.435379269405,2,0,0,0
92.65545895311563,2,0,0,0
218.13469463126745,2,0,0,0
46.28196568683195,1,0,0,0
393.5320868030868,0,0,0,0
492.1302917942186,3,0,0,0
316.5604432088257,4,0,0,0
1764.557865240934,6,0,0,0
441.22699952987017,4,1,0,0
329.8028401342492,2,1,1,0
782.407083207746,1,0,1,0
151.89814782062885,4,0,0,0
1620.4835957747312,2,0,1,0
77.47586881130901,3,0,1,0
4334.14633958732,2,0,0,0
1479.4837762415114,3,0,0,0
221.53944050588595,0,0,0,0
5.537420375935475,2,0,0,0
1689.896777486126,2,0,1,0
1227.0959073870447,2,1,0,0
1305.662908787999,3,0,0,0
1475.2145260435134,2,0,0,0
76.92926551379635,2,0,0,0
443.8926724162325,3,0,0,0
123.15010460444965,5,0,1,0
1988.5295716582227,3,0,0,0
976.301191712374,0,0,1,0
401.818801251301,2,1,0,0
